START | Rank: 40
START | Rank: 100
START | Rank: 27
START | Rank: 182
START | Rank: 219
START | Rank: 72
START | Rank: 70
START | Rank: 268
START | Rank: 177
START | Rank: 283
START | Rank: 390
START | Rank: 312
START | Rank: 306
START | Rank: 88
START | Rank: 275
START | Rank: 237
START | Rank: 235
START | Rank: 12
START | Rank: 353
START | Rank: 376
START | Rank: 256
START | Rank: 322
START | Rank: 38
START | Rank: 39
START | Rank: 65
START | Rank: 374
START | Rank: 333
START | Rank: 243
START | Rank: 94
START | Rank: 210
START | Rank: 73
START | Rank: 347
START | Rank: 200
START | Rank: 267
START | Rank: 266
START | Rank: 87
START | Rank: 354
START | Rank: 398
START | Rank: 0
START | Rank: 241
START | Rank: 368
START | Rank: 1
START | Rank: 337
START | Rank: 33
START | Rank: 240
START | Rank: 34
START | Rank: 360
START | Rank: 334
START | Rank: 350
START | Rank: 61
START | Rank: 207
START | Rank: 98
START | Rank: 336
START | Rank: 31
START | Rank: 37
START | Rank: 344
START | Rank: 329
START | Rank: 349
START | Rank: 330
START | Rank: 328
START | Rank: 357
START | Rank: 342
START | Rank: 323
START | Rank: 324
START | Rank: 341
START | Rank: 327
START | Rank: 351
START | Rank: 326
START | Rank: 331
START | Rank: 348
START | Rank: 343
START | Rank: 320
START | Rank: 335
START | Rank: 359
START | Rank: 338
START | Rank: 325
START | Rank: 339
START | Rank: 321
START | Rank: 332
Benchmark count 1
Benchmark count 2
Benchmark count 3
Benchmark count 4
Benchmark count 5
Benchmark count 6
Benchmark count 7
Benchmark count 8
Benchmark count 9
Benchmark count 10
Benchmark count 11
Benchmark count 12
Benchmark count 13
Benchmark count 14
Benchmark count 15
Benchmark count 16
Benchmark count 17
Benchmark count 18
Benchmark count 19
Benchmark count 20
Benchmark count 21
Benchmark count 22
Benchmark count 23
Benchmark count 24
Benchmark count 25
Benchmark count 26
Benchmark count 27
Benchmark count 28
Benchmark count 29
Benchmark count 30
Benchmark count 31
Benchmark count 32
Benchmark count 33
Benchmark count 34
Benchmark count 35
Benchmark count 36
Benchmark count 37
Benchmark count 38
Benchmark count 39
Benchmark count 40
Benchmark count 41
Benchmark count 42
Benchmark count 43
Benchmark count 44
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** JOB 3234 ON hpcl1-1 CANCELLED AT 2020-12-17T23:11:03 ***
slurmstepd: error: *** STEP 3234.1 ON hpcl1-1 CANCELLED AT 2020-12-17T23:11:04 ***
